"sample.id","Observed","Shannon","FaithPD","collection.date","motu","island.side","station","site","transect","distance.along.transect","lat","long","sample.type","health.state","algae.N15","algae.C13.not.acid","algae.N.percent","rat.status","mL_sterivex","Evenness","RelAbund_Rhodospirillales_AEGEAN_169_marine_group","RelAbund_SAR11_CladeIa","RelAbund_SAR11_CladeIb","RelAbund_SAR11_CladeII","RelAbund_Prochlorococcus","RelAbund_SAR116_Clade","RelAbund_SAR86_Clade","RelAbund_Synechococcus","RelAbund_Cellvibrionales_Aestuariicella","RelAbund_Alteromonadales_Agaribacter","RelAbund_Cytophagales_Candidatus_Amoebophilus","RelAbund_Endozoicomonas","RelAbund_Alteromonadales_Glaciecola","RelAbund_Oceanospirillales_Neptuniibacter","RelAbund_Cellvibrionales_Porticoccus","RelAbund_Woesearchaeales_SCGC_AAA286E23","RelAbund_Litoricola","RelAbund_Uncultured_Alteromonadaceaeae","NMDS1","NMDS2","beta_dispersion_motu_islandside","site.name"
"TC195",34,1.650600031,5.896194161,"7-Nov-21","rimatuu","leeward","Rm1Ta10",1,"a",10,17.02838,149.56067,"coral","E5",3.51,-7.91,0.35,"exulans only",NA,0.468074667770864,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000688231245698555,0,0.969029593943565,0,0,0,0,0,0,1.55683081782211,-0.102057193693694,0.141209627578599,"Rm1"
"TC197",23,1.538321773,4.119866921,"7-Nov-21","rimatuu","leeward","Rm1Ta30",1,"a",30,17.0284,149.56085,"coral","E5",3.51,-6.93,0.45,"exulans only",NA,0.490615407671593,NA,NA,NA,NA,NA,NA,NA,NA,0.00206469373709566,0,0,0.977976600137646,0,0,0,0,0,0,2.83700085723519,0.528354964292876,0.222361082792209,"Rm1"
"TC198",13,1.550569385,1.633441593,"7-Nov-21","rimatuu","leeward","Rm1Ta40",1,"a",40,17.0284,149.56096,"coral","E4",3.25,-7.56,0.34,"exulans only",NA,0.604522416978461,NA,NA,NA,NA,NA,NA,NA,NA,0.000688231245698555,0.00137646249139711,0,0.994494150034412,0,0,0,0,0,0,2.65479027780063,-0.160966977769427,0.154822172450441,"Rm1"
"TC199",7,1.272157886,0.339366401,"7-Nov-21","rimatuu","leeward","Rm1Tb10",1,"b",10,17.02868,149.56068,"coral","E5",4.07,-7.17,0.47,"exulans only",NA,0.653759828848006,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.999311768754301,0,0,0,0,0,0,3.35223003435501,-0.0981078714392923,0.211350494252724,"Rm1"
"TC200",6,1.184359398,0.344829624,"7-Nov-21","rimatuu","leeward","Rm1Tb20",1,"b",20,17.02868,149.56081,"coral","E5",3.4,-7.72,0.45,"exulans only",NA,0.661003565679638,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.999311768754301,0,0,0,0,0,0,3.27315426394552,-0.0108467364854032,0.139846377224505,"Rm1"
"TC201",11,1.207673407,1.430492054,"7-Nov-21","rimatuu","leeward","Rm1Tb30",1,"b",30,17.02867,149.5609,"coral","E5",3.33,-7.88,0.35,"exulans only",NA,0.503638928980677,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00137646249139711,0,0.994494150034412,0,0,0,0,0,0,2.83020681348908,-0.415783884755566,0.253143532476936,"Rm1"
"TC202",58,1.058792551,9.985363426,"7-Nov-21","rimatuu","leeward","Rm1Tb40",1,"b",40,17.02867,149.56099,"coral","E5",3.15,-7.59,0.37,"exulans only",NA,0.260757889779499,NA,NA,NA,NA,NA,NA,NA,NA,0.0165175498967653,0.000688231245698555,0,0.84308327598073,0,0,0,0.0584996558843772,0,0,-2.4165916316471,2.85059178015999,0.875334992881275,"Rm1"
"TC203",23,1.429748808,4.416866724,"7-Nov-21","rimatuu","leeward","Rm1Tc10",1,"c",10,17.029,149.5607,"coral","E5",3.8,-7.62,0.41,"exulans only",NA,0.455988341721855,NA,NA,NA,NA,NA,NA,NA,NA,0.00412938747419133,0,0,0.973158981417756,0.00206469373709566,0,0,0,0,0,2.24664705949371,0.620344128930164,0.226024106046292,"Rm1"
"TC204",5,1.277418564,0.053488247,"7-Nov-21","rimatuu","leeward","Rm1Tc20",1,"c",20,17.02899,149.56079,"coral","D5",3.56,-7.7,0.43,"exulans only",NA,0.793704779868173,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,3.28096909584713,-0.0673729237477916,0.150721396148245,"Rm1"
"TC205",8,1.458151804,0.910089883,"7-Nov-21","rimatuu","leeward","Rm1Tc30",1,"c",30,17.029,149.56091,"coral","D5",3.45,-8.31,0.38,"exulans only",NA,0.701222792164699,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.996558843771507,0,0,0,0,0,0,2.93558924720647,0.234102910760397,0.137779962696394,"Rm1"
"TC206",8,1.444458414,0.733878759,"7-Nov-21","rimatuu","leeward","Rm1Tc40",1,"c",40,17.02901,149.56099,"coral","D5",2.73,-9.29,0.46,"exulans only",NA,0.694637663549379,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.999311768754301,0,0,0,0,0,0,3.27442259252006,-0.225851295028915,0.147614156428864,"Rm1"
"TC207",7,1.214007723,0.776293796,"11-Nov-21","rimatuu","windward","Rm2Ta10",2,"a",10,17.03311,149.55611,"coral","E5",6.35,-9.01,0.41,"exulans only",NA,0.623876556473775,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.991741225051617,0,0,0,0,0,0,2.97406294519349,0.0437963385511141,0.43871843796351,"Rm2"
"TC208",54,1.700491712,11.20301252,"11-Nov-21","rimatuu","windward","Rm2Ta20",2,"a",20,17.0332,149.55606,"coral","D4",6.09,-9.11,0.5,"exulans only",NA,0.426296944823492,NA,NA,NA,NA,NA,NA,NA,NA,0.16655196145905,0.00137646249139711,0,0.570543702684102,0,0,0,0.135581555402615,0,0,-3.03888679529258,3.34445629388013,0.585369747544774,"Rm2"
"TC209",21,0.232886514,4.799188625,"11-Nov-21","rimatuu","windward","Rm2Ta30",2,"a",30,17.03325,149.556,"coral","E5",5.33,-9.5,0.44,"exulans only",NA,0.0764936106610348,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.969717825189264,0,0,0,0.00825877494838266,0,0,-0.837971624927837,5.09554433373991,0.624906018686619,"Rm2"
